id,nombre,tipo,dirección,ciudad,provincia,país,código_iso,latitud,longitud,descripción,motivo_inclusión,adaptaciones_sensoriales,certificación,nivel_verificación,web_oficial,url_oficial,fuente,fecha_verificación
REAL-001,Carrefour España — Hora silenciosa en todos sus centros,supermercado,,España (red nacional),,España,,40.4015,-3.6826,"Primera cadena en implantar la Hora Silenciosa en España (julio 2021). Sin música, sin megafonía salvo emergencias, reducción lumínica y sonido de cajas. Este pin es informativo — busca tu Carrefour más cercano en su web.",,,,Verificado - Documentación pública,,,https://autismo.org.es/actualidad/noticias/carrefour-espana-extiende-la-hora-silenciosa-a-favor-de-las-personas-con-autismo-e-hipersensibilidad-sensorial-a-sus-centros-carrefour-market/,2026-07-20
REAL-002a,Altoaragón — Huesca 1 (Ramón y Cajal),supermercado,,Huesca,,España,,42.1401,-0.4133,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002b,Altoaragón — Huesca 2 (Menéndez Pidal),supermercado,,Huesca,,España,,42.1368,-0.4089,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002c,Altoaragón — Huesca 3 (Zaragoza),supermercado,,Huesca,,España,,42.1385,-0.4097,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002d,Altoaragón — Huesca 4 (Pirineos),supermercado,,Huesca,,España,,42.145,-0.425,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002e,Altoaragón — Huesca 5 (Ramón J. Sender),supermercado,,Huesca,,España,,42.133,-0.4002,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002f,Altoaragón — Huesca 6 (Martínez de Velasco),supermercado,,Huesca,,España,,42.1355,-0.416,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002g,Altoaragón — Huesca 7 (Teruel),supermercado,,Huesca,,España,,42.131,-0.403,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002h,Altoaragón — Huesca 8 (Capuchinas),supermercado,,Huesca,,España,,42.142,-0.4108,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002i,Altoaragón — Barbastro 1 (Camino de la Barca),supermercado,,Barbastro,,España,,42.035,0.124,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002j,Altoaragón — Barbastro 2 (Federico García Lorca),supermercado,,Barbastro,,España,,42.033,0.1275,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002k,Altoaragón — Jaca 1 (Avda. Francia),supermercado,,Jaca,,España,,42.57,-0.552,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002l,Altoaragón — Jaca 2 (Correos),supermercado,,Jaca,,España,,42.568,-0.549,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
